347.0	2.0	270	13
347.0	5.0	211	79
347.0	8.0	279	142
348.0	8.0	279	142
348.0	2.0	272	15
348.0	5.0	212	78
349.0	2.0	274	17
349.0	8.0	279	142
349.0	5.0	213	77
350.0	5.0	214	76
350.0	8.0	279	142
350.0	2.0	276	19
351.0	2.0	278	21
351.0	8.0	279	142
351.0	5.0	215	75
352.0	8.0	279	142
352.0	5.0	216	74
352.0	2.0	280	23
353.0	2.0	282	25
353.0	5.0	217	73
353.0	8.0	279	142
354.0	8.0	279	142
354.0	5.0	218	72
354.0	2.0	284	27
355.0	2.0	286	29
355.0	8.0	279	142
355.0	5.0	219	71
356.0	5.0	220	70
356.0	8.0	279	142
356.0	2.0	288	31
357.0	2.0	290	33
357.0	8.0	279	142
357.0	5.0	221	69
358.0	2.0	292	35
358.0	5.0	222	68
358.0	8.0	279	142
359.0	2.0	294	37
359.0	8.0	279	142
359.0	5.0	223	67
360.0	8.0	279	142
360.0	5.0	224	66
360.0	2.0	296	39
361.0	5.0	225	65
361.0	2.0	298	41
361.0	8.0	279	142
362.0	8.0	279	142
362.0	5.0	226	64
362.0	2.0	300	43
363.0	5.0	227	63
363.0	8.0	279	142
363.0	2.0	300	45
364.0	5.0	228	62
364.0	8.0	279	142
364.0	2.0	300	47
365.0	5.0	229	61
365.0	2.0	300	49
365.0	8.0	279	142
366.0	8.0	279	142
366.0	5.0	230	60
366.0	2.0	300	51
367.0	5.0	231	59
367.0	2.0	299	53
367.0	8.0	279	142
368.0	5.0	232	58
368.0	2.0	299	55
368.0	8.0	279	142
369.0	8.0	279	142
369.0	2.0	299	57
369.0	5.0	233	57
370.0	5.0	234	58
370.0	2.0	298	59
370.0	8.0	279	142
371.0	2.0	298	61
371.0	5.0	235	59
371.0	8.0	279	142
372.0	5.0	236	60
372.0	8.0	279	142
372.0	2.0	297	63
373.0	5.0	237	61
373.0	2.0	297	65
373.0	8.0	279	142
374.0	8.0	279	142
374.0	2.0	296	67
374.0	5.0	238	62
375.0	2.0	295	69
375.0	5.0	239	63
375.0	8.0	279	142
376.0	8.0	279	142
376.0	2.0	295	71
376.0	5.0	240	64
377.0	2.0	294	73
377.0	8.0	279	142
377.0	5.0	241	65
378.0	8.0	279	142
378.0	2.0	294	75
378.0	5.0	242	66
379.0	8.0	279	142
379.0	2.0	293	77
379.0	5.0	243	67
380.0	8.0	279	142
380.0	2.0	293	79
380.0	5.0	244	68
381.0	8.0	279	142
381.0	5.0	245	69
381.0	2.0	292	81
382.0	8.0	279	142
382.0	2.0	291	83
382.0	5.0	246	70
383.0	5.0	247	71
383.0	8.0	279	142
383.0	2.0	290	85
384.0	5.0	248	72
384.0	2.0	290	87
384.0	8.0	279	142
385.0	2.0	289	89
385.0	8.0	279	142
385.0	5.0	249	73
386.0	8.0	279	142
386.0	5.0	250	74
386.0	2.0	289	91
387.0	2.0	288	93
387.0	5.0	251	75
387.0	8.0	279	142
388.0	5.0	252	76
388.0	8.0	279	142
388.0	2.0	287	95
389.0	8.0	279	142
389.0	5.0	253	77
389.0	2.0	286	97
390.0	2.0	285	99
390.0	5.0	254	78
390.0	8.0	279	142
391.0	5.0	255	79
391.0	2.0	285	101
391.0	8.0	279	142
392.0	2.0	284	103
392.0	8.0	279	142
392.0	5.0	256	80
393.0	8.0	279	142
393.0	5.0	257	81
393.0	2.0	283	105
394.0	5.0	258	82
394.0	8.0	279	142
394.0	2.0	282	107
395.0	8.0	279	142
395.0	5.0	259	83
395.0	2.0	282	109
396.0	8.0	279	142
396.0	2.0	281	111
396.0	5.0	260	84
397.0	8.0	279	142
397.0	5.0	261	85
397.0	2.0	281	113
398.0	8.0	279	142
398.0	5.0	262	86
398.0	2.0	280	115
399.0	2.0	280	117
399.0	5.0	263	87
399.0	8.0	279	142
400.0	8.0	279	142
400.0	2.0	279	119
400.0	5.0	264	88
401.0	2.0	279	121
401.0	5.0	265	89
401.0	8.0	279	142
402.0	8.0	279	142
402.0	5.0	266	90
402.0	2.0	279	123
403.0	2.0	279	125
403.0	5.0	267	91
403.0	8.0	279	142
404.0	2.0	279	127
404.0	5.0	268	92
404.0	8.0	279	142
405.0	8.0	279	142
405.0	2.0	279	129
405.0	5.0	269	93
406.0	8.0	279	142
406.0	5.0	270	94
406.0	2.0	279	131
407.0	8.0	279	142
407.0	2.0	279	133
407.0	5.0	271	95
408.0	5.0	272	96
408.0	8.0	279	142
408.0	2.0	279	135
409.0	2.0	279	137
409.0	5.0	273	97
409.0	8.0	279	142
410.0	5.0	274	98
410.0	2.0	279	139
410.0	8.0	279	142
